Job_title,Job_role,Company,Job_location,Job_summary,Post_date,Today,Job_salary,Job_url
Data Engineer,Data Engineer,Recbots,"Bengaluru, Karnataka","Data engineer: 4 years (Preferred).
Experinece in Python, Kafka, Docker.
Excellent in at least one programming language: *Python, R*.",PostedPosted 30 days ago,2023-03-19,"₹10,00,000 - ₹15,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=20
Data Engineer,Data Engineer,optimhire,"Bengaluru, Karnataka","Maintain and support data mart, data analytics platforms & application.
Work Experience Data Engineer: 4+ years of experience in data engineering on cloud…",PostedPosted 2 days ago,2023-03-19,"₹8,00,000 - ₹14,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=20
Data Analyst/Data Engineer,Data Engineer,The English Channel,"Remote in Ahmedabad, Gujarat","Develop and communicate data extraction approaches for assigned data products of North American government spending data, bid data, contract data, and contacts…",EmployerActive 16 days ago,2023-03-19,"₹6,00,000 - ₹9,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=20
Data Engineer,Data Engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Candidate will be responsible for analyzing new data source along with other data scientists.
Knowledge in Azure Big data store.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=20
People Analytics Data Engineer,Data Engineer,Ericsson,"Gurgaon District, Haryana","The Data Architect will support our software developers, other database architects, data analysts and data scientists on data initiatives and will ensure…",PostedPosted 5 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=20
Data Engineer (Remote),Data Engineer,nClouds,"Remote in Gurgaon District, Haryana","At least 5 years of experience as a data engineer.
Strong understanding of data warehousing and data pipeline design.
Experience with SQL and NoSQL databases.",PostedPosted 25 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=20
Data engineer (Data Platform),Data Engineer,GIBRALTAR TECHNOLOGIES LLC,"Bengaluru, Karnataka","Experience in relational databases/ data marts/data warehouses and complex SQL programming.
Key Roles and Responsibilities • Develop, understand, and enhance…",PostedPosted 30+ days ago,2023-03-19,"₹5,00,000 ",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=20
Data Engineer,Data Engineer,Commonwealth Bank,"Bengaluru, Karnataka","We are looking for a data engineer who can gather and analyse technical business requirements in business processes, through requirements elicitation, solutions…",PostedPosted 4 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=20
Data Engineer,Data Engineer,IKEA,"Bengaluru, Karnataka",Good knowledge of data science and business intelligence products and how they rely on data feeds for their implementation.,PostedPosted 7 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=20
Data Engineer,Data Engineer,MSD,"Pune, Maharashtra","Work with data governance team and implement data quality checks and maintain data catalogs.
Design, develop and maintain data pipelines to extract data from a…",PostedPosted 15 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=20
